,accommodates,bathrooms,neighbourhood,num_beds,price,property_type
0,1,1.0,Kitsilano,1,39,Apartment
1,1,1.0,Kensington-Cedar Cottage,1,43,Townhouse
2,2,1.0,Dunbar-Southlands,1,20,Apartment
3,3,1.0,Fraserview,1,49,Bed and breakfast
4,2,1.0,Oakridge,1,49,Villa
5,4,1.0,Arbutus Ridge,1,39,Villa
6,2,1.0,Arbutus Ridge,1,33,Villa
7,2,1.0,Point Grey/University of British Columbia,1,45,Villa
8,2,1.0,Arbutus Ridge,1,35,Villa
9,2,1.0,Hastings-Sunrise,1,38,Apartment
10,6,1.0,Downtown Vancouver,1,13,Condominium
11,1,1.0,Kitsilano,1,45,Apartment
12,1,1.0,Kitsilano,1,47,Guest suite
13,1,1.0,Grandview-Woodland,1,49,Apartment
14,2,1.0,Downtown Vancouver,1,29,Condominium
15,2,1.5,Kensington-Cedar Cottage,1,49,Townhouse
16,2,1.0,Fairview,1,49,Apartment
17,2,1.0,Hastings-Sunrise,1,39,Bungalow
18,2,1.0,Hastings-Sunrise,1,45,Guest suite
19,2,1.0,Hastings-Sunrise,1,45,Loft
20,1,1.0,Downtown Vancouver,1,45,Condominium
21,1,4.0,Kitsilano,1,37,Apartment
22,1,3.5,Kitsilano,1,37,Apartment
23,1,3.5,Kitsilano,1,37,Apartment
24,1,3.5,Kitsilano,1,46,Apartment
25,1,3.5,Kitsilano,1,37,Apartment
26,1,3.5,Kitsilano,1,37,Apartment
27,2,3.5,Kitsilano,1,37,Apartment
28,1,3.5,Kitsilano,1,49,Apartment
29,1,1.0,Riley Park,1,45,Apartment
30,2,1.0,Grandview-Woodland,1,45,Apartment
31,1,1.0,Kitsilano,1,39,Condominium
32,1,1.0,Renfrew-Collingwood,1,30,Apartment
33,1,1.0,Riley Park,1,45,Condominium
34,1,1.0,Renfrew-Collingwood,1,28,Apartment
35,2,1.0,Fairview,1,47,Townhouse
36,6,1.0,Hastings-Sunrise,1,35,Guest suite
37,2,1.0,Grandview-Woodland,1,49,Guest suite
38,3,1.0,Downtown Vancouver,1,39,Condominium
39,1,1.0,Marpole,1,28,Apartment
40,2,1.0,Renfrew-Collingwood,1,41,Guest suite
41,2,1.0,Commercial Drive,1,49,Apartment
42,2,1.0,Downtown Vancouver,1,34,Condominium
43,1,1.0,Downtown Vancouver,1,43,Condominium
44,1,1.0,Kitsilano,1,45,Apartment
45,2,1.0,Downtown Vancouver,1,49,Condominium
46,2,1.0,Grandview-Woodland,1,46,Apartment
47,1,1.0,Kitsilano,1,37,Apartment
48,2,1.0,Grandview-Woodland,1,42,Condominium
49,6,1.0,Downtown Vancouver,1,13,Condominium
50,2,1.0,Downtown Vancouver,1,29,Condominium
51,1,1.0,Downtown Vancouver,1,45,Condominium
52,1,1.0,Kitsilano,1,39,Condominium
53,1,1.0,Riley Park,1,45,Condominium
54,3,1.0,Downtown Vancouver,1,39,Condominium
55,2,1.0,Downtown Vancouver,1,34,Condominium
56,1,1.0,Downtown Vancouver,1,43,Condominium
57,2,1.0,Kensington-Cedar Cottage,1,50,Condominium
58,2,1.0,Downtown Vancouver,1,49,Condominium
59,2,1.0,Riley Park,1,50,Condominium
60,6,2.0,Downtown Vancouver,1,50,Condominium
61,2,1.0,Downtown Vancouver,2,94,Condominium
62,3,1.0,Yaletown,2,59,Condominium
64,1,1.0,Downtown Vancouver,2,75,Condominium
65,2,1.0,Mount Pleasant,2,91,Condominium
67,2,1.0,Mount Pleasant,2,91,Condominium
68,2,1.0,Mount Pleasant,2,77,Condominium
69,2,1.0,Yaletown,2,94,Condominium
70,2,1.0,Mount Pleasant,2,91,Condominium
